Ca,Mg,K,S,N,Lime,C,P,Moisture
1.176,15.41,352.39,10,212.8,7.16,0.53,27,0.5
1.295,10.93,325.26,10,159.6,7.28,0.44,23,0.7
1.318,13.25,348.52,7,170.24,7.6,0.39,24,0.7
1.247,11.8,404.92,17,148.96,7.41,0.5,25,0.5
1.318,13.92,330.59,8,170.24,7.55,0.43,29,0.8
1.2,11.13,265.11,11,234.08,7.7,0.8,47,0.7
1.295,11.29,309.05,15,191.52,7.68,0.36,25,0.7
1.627,11.8,356.62,20,191.52,7.47,0.51,25,0.9
1.057,10.52,255.18,15,191.52,7.64,0.61,118,0.7
1.176,11.34,280.04,13,180.88,7.74,0.58,43,0.5
1.651,13.4,355.49,15,191.52,7.7,0.92,70,0.7
2.197,12.27,374.5,12,159.6,7.89,0.75,44,0.6
1.508,12.16,330.91,24,202.16,7.81,0.94,77,0.5
1.295,8.041,292.11,23,180.88,7.95,0.69,32,0.8
1.057,20.52,357.79,17,212.8,7.08,0.69,53,0.5
1.461,10.88,346,15,191.52,7.88,0.89,49,0.7
1.508,11.24,332.77,13,180.88,7.74,0.8,61,0.7
1.508,8.351,289.7,23,159.6,7.75,0.67,30,0.5
1.176,16.13,326.73,14,180.88,7.42,0.66,48,0.5
1.247,19.18,321.94,13,138.32,7.1,0.42,46,0.8
1.508,12.78,324.06,17,180.88,7.7,0.83,67,0.5
0.938,17.37,318.62,14,138.32,7.26,0.57,49,0.7
1.176,19.95,284.11,20,159.6,7.22,0.53,47,0.5
1.413,10.88,398.26,14,180.88,7.71,0.62,45,0.5
0.986,12.78,286.95,16,159.6,7.8,0.65,32,0.8
1.152,13.04,401.09,6,117.04,7.85,0.98,69,0.9
0.606,10.98,304.74,7,138.32,7.87,0.45,46,0.6
1.793,27.01,348.72,10,170.24,7.33,0.7,55,0.8
1.841,13.66,451.13,11,180.88,7.85,0.8,40,0.6
1.033,18.3,401.67,17,191.52,7.51,0.76,49,0.5
1.2,19.95,353.99,16,170.24,7.28,0.64,47,0.6
1.746,9.742,350.56,12,180.88,8.02,0.71,34,0.6
0.962,18.2,439.11,14,159.6,7.64,0.84,47,0.9
0.914,20.15,402.45,12,159.6,7.55,0.86,47,0.9
0.938,12.63,296.37,12,170.24,7.88,0.44,26,0.5
1.081,22.11,438.52,13,191.52,7.46,0.74,26,0.5
1.437,23.04,362.65,14,148.96,7.48,0.76,33,0.6
1.603,26.29,382.39,13,159.6,7.5,0.65,27,0.6
1.223,15.67,357.95,14,159.6,7.64,0.43,22,0.6
1.01,19.9,295.12,12,159.6,7.5,0.64,24,0.6
1.081,17.73,295.11,12,170.24,7.44,0.6,36,0.5
1.77,17.27,361.99,15,177.82,7.6,0.62,131,0.6
